Index,TimeStamp,Humidity,Temperature,UV Power,Power,Pressure
0,06/21/2020 12:35:21.709 pm,58,19,215,1119437,101.76
1,06/21/2020 12:35:21.737 pm,58,19,215,1119437,101.76
2,06/21/2020 12:46:25.819 pm,58,18,270,1400218,101.78
3,06/21/2020 12:46:25.831 pm,58,18,270,1400218,101.78
4,06/21/2020 12:58:30.542 pm,57,19,275,1435853,101.81
5,06/21/2020 12:58:30.573 pm,57,19,275,1435853,101.81
6,06/21/2020 12:59:31.016 pm,57,19,275,1435853,101.81
7,06/21/2020 01:11:35.655 pm,57,19,270,1407591,101.85
8,06/21/2020 01:11:35.759 pm,57,19,270,1407591,101.85
9,06/21/2020 01:23:40.596 pm,56,19,305,1803879,101.87
10,06/21/2020 01:24:40.854 pm,56,19,305,1803879,101.87
11,06/21/2020 01:24:40.959 pm,56,19,305,1803879,101.87
12,06/21/2020 01:36:45.639 pm,56,20,305,1838285,101.87
13,06/21/2020 01:36:45.751 pm,56,20,305,1838285,101.87
14,06/21/2020 01:48:50.563 pm,55,19,195,1199923,101.9
15,06/21/2020 01:49:50.847 pm,55,19,195,1199923,101.9
16,06/21/2020 01:49:50.920 pm,55,19,195,1199923,101.9
17,06/21/2020 02:01:55.613 pm,53,20,235,893644.8,101.9
18,06/21/2020 02:01:55.733 pm,53,20,235,893644.8,101.9
19,06/21/2020 02:02:56.024 pm,53,20,235,893644.8,101.9
20,06/21/2020 02:15:00.857 pm,53,20,290,1790362,101.93
21,06/21/2020 02:15:00.900 pm,53,20,290,1790362,101.93
22,06/21/2020 02:27:05.639 pm,53,20,270,1003622,101.95
23,06/21/2020 02:27:05.727 pm,53,20,270,1003622,101.95
24,06/21/2020 02:28:05.996 pm,53,20,270,1719706,101.96
25,06/21/2020 02:40:10.811 pm,53,20,140,563865.6,101.97
26,06/21/2020 02:40:10.905 pm,53,20,140,563865.6,101.97
27,06/21/2020 02:52:15.616 pm,53,20,240,1572250,101.99
28,06/21/2020 02:52:15.677 pm,53,20,240,1572250,101.99
29,06/21/2020 02:53:16.000 pm,54,20,240,1591296,101.97
30,06/21/2020 03:05:20.793 pm,54,20,265,1736909,101.99
31,06/21/2020 03:05:20.891 pm,54,20,265,1736909,101.99
32,06/21/2020 03:17:25.723 pm,53,20,210,1710490,102.02
33,06/21/2020 03:18:25.989 pm,53,20,275,1755955,102.03
34,06/21/2020 03:18:26.081 pm,53,20,275,1755955,102.03
35,06/21/2020 03:30:30.782 pm,53,20,260,1773773,102.03
36,06/21/2020 03:30:30.880 pm,53,20,260,1773773,102.03
37,06/21/2020 03:43:35.979 pm,54,20,275,1850573,102.04
38,06/21/2020 03:43:36.061 pm,54,20,275,1850573,102.04
39,06/21/2020 03:55:40.760 pm,53,20,240,1629389,102.06
40,06/21/2020 03:55:40.869 pm,53,20,240,1629389,102.06
41,06/21/2020 04:08:45.950 pm,52,20,240,1591296,102.05
42,06/21/2020 04:08:46.051 pm,52,20,240,1591296,102.05
43,06/21/2020 04:20:50.741 pm,53,19,140,638976,102.06
44,06/21/2020 04:20:50.833 pm,53,19,140,638976,102.06
45,06/21/2020 04:21:51.109 pm,53,19,140,638976,102.06
46,06/21/2020 04:33:55.920 pm,54,19,140,625920,102.07
47,06/21/2020 04:33:56.013 pm,54,19,140,625920,102.07
48,06/21/2020 04:46:00.724 pm,54,19,235,1401447,102.09
49,06/21/2020 04:46:00.812 pm,54,19,235,1401447,102.09
50,06/21/2020 04:47:01.113 pm,54,19,235,1401447,102.09
51,06/21/2020 04:59:05.956 pm,54,19,160,1327719,102.1
52,06/21/2020 04:59:05.992 pm,54,19,160,1327719,102.1
53,06/21/2020 05:11:10.726 pm,54,19,210,1253376,102.13
54,06/21/2020 05:11:10.867 pm,54,19,210,1253376,102.13
55,06/21/2020 05:12:11.086 pm,54,19,210,1253376,102.13
56,06/21/2020 05:12:11.184 pm,54,19,210,1253376,102.13
57,06/21/2020 05:24:15.914 pm,53,19,200,1193472,102.13
58,06/21/2020 05:24:16.134 pm,53,19,200,1193472,102.13
59,06/21/2020 05:36:20.790 pm,54,19,160,652185.6,102.15
60,06/21/2020 05:37:21.086 pm,55,19,120,547276.8,102.15
61,06/21/2020 05:37:21.183 pm,55,19,120,547276.8,102.15
62,06/21/2020 05:49:25.903 pm,56,18,165,911769.6,102.14
63,06/21/2020 05:49:25.958 pm,56,18,165,911769.6,102.14
64,06/21/2020 06:01:30.784 pm,57,18,135,658329.6,102.15
65,06/21/2020 06:02:31.089 pm,56,18,115,572313.6,102.15
66,06/21/2020 06:14:35.848 pm,56,18,150,785510.4,102.16
67,06/21/2020 06:14:35.951 pm,56,18,150,785510.4,102.16
68,06/21/2020 06:15:36.253 pm,57,18,130,555878.4,102.16
69,06/21/2020 06:27:41.034 pm,57,18,95,427929.6,102.17
70,06/21/2020 06:27:41.157 pm,57,18,95,427929.6,102.17
71,06/21/2020 06:39:45.915 pm,58,17,115,572774.4,102.18
72,06/21/2020 06:39:45.927 pm,58,17,115,572774.4,102.18
73,06/21/2020 06:52:51.009 pm,59,17,110,512563.2,102.19
74,06/21/2020 06:52:51.293 pm,59,17,110,512563.2,102.19
75,06/21/2020 07:04:55.823 pm,59,17,75,345292.8,102.19
76,06/21/2020 07:04:55.943 pm,59,17,75,345292.8,102.19
77,06/21/2020 07:05:56.216 pm,59,17,75,341606.4,102.2
78,06/21/2020 07:18:01.009 pm,60,17,70,292531.2,102.2
79,06/21/2020 07:18:01.098 pm,60,17,70,292531.2,102.2
80,06/21/2020 07:30:05.968 pm,59,16,55,239846.4,102.2
81,06/21/2020 07:31:06.214 pm,59,16,55,271027.2,102.2
82,06/21/2020 07:31:06.288 pm,59,16,55,271027.2,102.2
83,06/21/2020 07:43:11.000 pm,59,16,55,276403.2,102.19
84,06/21/2020 07:43:11.101 pm,59,16,55,276403.2,102.19
85,06/21/2020 07:55:15.922 pm,60,16,45,203443.2,102.18
86,06/21/2020 07:56:16.203 pm,60,16,45,201984,102.19
87,06/21/2020 07:56:16.273 pm,60,16,45,201984,102.19
88,06/21/2020 08:08:20.980 pm,61,16,45,217651.2,102.23
89,06/21/2020 08:08:21.122 pm,61,16,45,217651.2,102.23
90,06/21/2020 08:09:21.382 pm,61,16,45,217651.2,102.23
91,06/21/2020 08:20:25.821 pm,61,16,35,157094.4,102.22
